text,category
dear sir voter list manipulation election officer,Corruption
problem colony fund allocated school stolen official,Corruption
facing major issue officer asked money table clear file,Corruption
serious problem assault victim pressurized reach settlement,Law Enforcement Issue
facing major issue audit finding show financial discrepancy,Financial Issue
dear sir police taking side property dispute,Law Enforcement Issue
issue name correction school record taking age please help,Service Delay
requesting immediate action credit card charged service availed,Financial Issue
public fund diverted private function,Financial Issue
requesting immediate action fake voucher submitted government travel reimbursement,Corruption
want report street sweeper never come lane,Utility Issue
dear sir public shaming official small error,Harassment
facing major issue unfair interest rate government loan,Financial Issue
dear sir hostile work environment due constant criticism,Harassment
urgent stolen phone tracked police wont go,Law Enforcement Issue
requesting immediate action criminal roaming free despite evidence,Law Enforcement Issue
requesting immediate action witness intimidation handled police,Law Enforcement Issue
hospital staff charging free medicine provided government,Corruption
requesting immediate action service tax charged abolished,Financial Issue
want report response rti application filed three month ago,Service Delay
serious problem bribe requested passport verification,Corruption
serious problem custom officer asking illegal fee,Corruption
thief broke police said small matter,Law Enforcement Issue
serious problem sewer line choked backing basement,Utility Issue
requesting immediate action local leader using thug grab ancestor land,Harassment
problem colony name correction school record taking age,Service Delay
serious problem pension paper stuck bureaucratic process,Service Delay
water tank never cleaned full moss,Utility Issue
facing major issue long waiting list government surgery,Service Delay
want report bank refusing process loan application,Financial Issue
government official demanded bribe processing application,Corruption
complaint regarding garbage bin overflowing public park,Utility Issue
requesting immediate action fraudulent transaction debit card,Financial Issue
complaint regarding persistent harassment neighbor police tie,Harassment
requesting immediate action land record update request ignored,Service Delay
dear sir response rti application filed three month ago,Service Delay
facing major issue persistent harassment neighbor police tie,Harassment
serious problem constant call night office supervisor,Harassment
urgent waiting approval hospital bill reimbursement,Service Delay
complaint regarding drainage blocked causing flooding rain,Utility Issue
officer taking money hide illegal construction,Corruption
facing major issue birth certificate issued despite multiple visit,Service Delay
requesting immediate action tree branch touching transformer causing spark,Utility Issue
want report low water pressure making hard use,Utility Issue
want report stray cattle causing traffic issue main road,Utility Issue
subsidy promised reaching account,Financial Issue
illegal weapon found investigation,Law Enforcement Issue
facing major issue hit run case investigated properly,Law Enforcement Issue
complaint regarding dead animal lying street removed,Utility Issue
complaint regarding doctor government hospital asking money treatment,Corruption
want report file moving slowly department,Service Delay
issue insurance claim rejected without valid reason please help,Financial Issue
serious problem fund poor people stolen local representative,Corruption
complaint regarding portal showing processing last day,Service Delay
sewer line choked backing basement,Utility Issue
broken power line hanging dangerously,Utility Issue
problem colony false allegation made get fired,Harassment
complaint regarding discrepancy pension payment,Financial Issue
complaint regarding refusal leave genuine medical emergency punishment,Harassment
problem colony facing discrimination due gender,Harassment
urgent forced overtime without pay threat,Harassment
urgent street flooding every minor rain,Utility Issue
requesting immediate action official counter say system week,Service Delay
urgent harassed inspector routine check,Harassment
facing major issue portal showing processing last day,Service Delay
requesting immediate action illegal recruitment process government department,Corruption
urgent gender based violence ignored supervisor,Harassment
want report fake account used siphon welfare money,Financial Issue
urgent misuse public fund road construction project,Corruption
issue security clearance employment taking forever please help,Service Delay
dear sir stock market fraud affecting saving,Financial Issue
issue pension credited account three month please help,Financial Issue
want report freedom fighter pension application moved year,Service Delay
serious problem water supply area past three day,Utility Issue
facing major issue drainage blocked causing flooding rain,Utility Issue
serious problem subsidy promised reaching account,Financial Issue
requesting immediate action gender based violence ignored supervisor,Harassment
facing major issue audit society reveals missing million,Financial Issue
dear sir street sweeper never come lane,Utility Issue
want report hidden fee charged without disclosure,Financial Issue
issue religious discrimination public service please help,Harassment
dear sir action repeated domestic violence,Law Enforcement Issue
complaint regarding facing threat local goon political connection,Harassment
requesting immediate action missing child case handled poorly,Law Enforcement Issue
dear sir fake account used siphon welfare money,Financial Issue
serious problem passport application pending six month,Service Delay
complaint regarding embezzlement fund meant welfare scheme,Corruption
issue police officer asking bribe release vehicle please help,Corruption
want report lady constable present arrest night,Law Enforcement Issue
drug dealing front police station,Law Enforcement Issue
want report security provided despite threat life,Law Enforcement Issue
issue officer demanding percentage contract payment please help,Corruption
urgent illegal commission charged permit approval,Corruption
requesting immediate action toxic waste dumped local pond,Utility Issue
urgent malfunctioning traffic light main crossing,Utility Issue
serious problem death certificate application stuck day,Service Delay
dear sir drought relief fund distributed correctly,Financial Issue
facing major issue failure serve court summons,Law Enforcement Issue
urgent land record update request ignored,Service Delay
serious problem water tank never cleaned full moss,Utility Issue
issue broken street sign causing confusion please help,Utility Issue
facing major issue public distribution system grain sold black market,Corruption
issue domestic abuse reported police arrival please help,Law Enforcement Issue
complaint regarding denial promotion due personal grudge,Harassment
serious problem government official demanded bribe processing application,Corruption
urgent garbage collected street regularly,Utility Issue
complaint regarding utility connection request pending month,Service Delay
complaint regarding methane leak neighborhood landfill,Utility Issue
complaint regarding traffic sergeant took license without receipt,Law Enforcement Issue
complaint regarding application lost transit office,Service Delay
want report hostile work environment due constant criticism,Harassment
problem colony insurance claim rejected without valid reason,Financial Issue
complaint regarding action taken complaint filed last month,Service Delay
want report mental health issue caused toxic workspace,Harassment
issue feedback previous complaint week please help,Service Delay
want report contractor paid kickback get tender approved,Corruption
dear sir bank refusing process loan application,Financial Issue
facing major issue public tap broken wasting ton water,Utility Issue
problem colony feedback previous complaint week,Service Delay
urgent witness intimidation handled police,Law Enforcement Issue
problem colony failure investigate suspicious death lane,Law Enforcement Issue
issue failure investigate suspicious death lane please help,Law Enforcement Issue
urgent property registration delayed without explanation,Service Delay
want report official accepted bribe overlook violation,Corruption
issue discriminatory behavior school staff please help,Harassment
issue traffic law enforced high speed road please help,Law Enforcement Issue
urgent bullying intimidation colleague,Harassment
complaint regarding income certificate verification pending tehsildar,Service Delay
facing major issue utility connection request pending month,Service Delay
serious problem broken power line hanging dangerously,Utility Issue
complaint regarding public land sold illegally corrupted official,Corruption
facing major issue refusal leave genuine medical emergency punishment,Harassment
serious problem overcharged electricity bill month,Financial Issue
problem colony illegal activity neighborhood ignored police,Law Enforcement Issue
serious problem refund processed cancelled service,Financial Issue
requesting immediate action error interest calculation mortgage,Financial Issue
problem colony traffic law enforced high speed road,Law Enforcement Issue
complaint regarding lack police patrolling night,Law Enforcement Issue
urgent gas supply interrupted without any notice,Utility Issue
facing major issue traffic police demanding illegal fine,Law Enforcement Issue
problem colony favoritism shown awarding government contract,Corruption
facing major issue traffic sergeant took license without receipt,Law Enforcement Issue
problem colony blackmail someone power,Harassment
requesting immediate action malfunctioning traffic light main crossing,Utility Issue
dear sir file moving slowly department,Service Delay
dear sir building permit application pending year,Service Delay
harassment small business owner official,Harassment
problem colony delay response fire department,Service Delay
facing major issue public land sold illegally corrupted official,Corruption
issue delay response fire department please help,Service Delay
requesting immediate action garbage collected street regularly,Utility Issue
dear sir stalking intimidation workplace,Harassment
want report marriage certificate registration pending,Service Delay
issue public servant mocking disability please help,Harassment
facing major issue inappropriate physical contact work,Harassment
issue dust pollution construction site without cover please help,Utility Issue
death certificate application stuck day,Service Delay
want report voter list manipulation election officer,Corruption
problem colony police officer asking bribe release vehicle,Corruption
want report police taking side property dispute,Law Enforcement Issue
facing major issue income certificate verification pending tehsildar,Service Delay
issue pension officer claiming file lost unless pay please help,Corruption
water supply area past three day,Utility Issue
want report building permit application pending year,Service Delay
urgent error interest calculation mortgage,Financial Issue
dear sir illegal search seizure without warrant,Law Enforcement Issue
police brutality questioning,Law Enforcement Issue
serious problem illegal weapon found investigation,Law Enforcement Issue
complaint regarding incorrect tax assessment property,Financial Issue
facing major issue doctor government hospital asking money treatment,Corruption
complaint regarding failure report crime officer,Law Enforcement Issue
problem colony delay processing student scholarship,Service Delay
complaint regarding unfair interest rate government loan,Financial Issue
complaint regarding loud noise illegal factory residential zone,Utility Issue
problem colony domestic abuse reported police arrival,Law Enforcement Issue
urgent toxic waste dumped local pond,Utility Issue
serious problem aadhar card update pending week,Service Delay
dear sir marriage certificate registration pending,Service Delay
dear sir cyber crime department taking case seriously,Law Enforcement Issue
serious problem water pipeline leaking causing road damage,Utility Issue
issue student grant money never arrived bank please help,Financial Issue
pension paper stuck bureaucratic process,Service Delay
bribe requested passport verification,Corruption
issue streetlight working colony week please help,Utility Issue
issue false allegation made get fired please help,Harassment
urgent embezzlement detection local branch,Financial Issue
problem colony broken street sign causing confusion,Utility Issue
requesting immediate action abuse authority target personal enemy,Harassment
issue illegal construction storm water drain please help,Utility Issue
serious problem digital signature error preventing file upload day,Service Delay
dear sir security provided despite threat life,Law Enforcement Issue
serious problem verbal abuse government official visit,Harassment
issue illegal activity neighborhood ignored police please help,Law Enforcement Issue
issue nepotism hiring municipal office please help,Corruption
urgent illegal recruitment process government department,Corruption
urgent local leader using thug grab ancestor land,Harassment
fraudulent billing government contractor,Corruption
problem colony pension officer claiming file lost unless pay,Corruption
complaint regarding illegal gambling den running local police support,Law Enforcement Issue
requesting immediate action safety concern public place addressed,Law Enforcement Issue
problem colony dust pollution construction site without cover,Utility Issue
serious problem update application housing scheme,Service Delay
complaint regarding long waiting list government surgery,Service Delay
urgent missing child case handled poorly,Law Enforcement Issue
problem colony poor road condition multiple pothole,Utility Issue
want report government employee asking extra money service,Corruption
dear sir trade license renewal taking forever,Service Delay
facing major issue embezzlement fund meant welfare scheme,Corruption
urgent cyberbullying colleague social medium group,Harassment
complaint regarding public tap broken wasting ton water,Utility Issue
facing major issue methane leak neighborhood landfill,Utility Issue
facing major issue action taken complaint filed last month,Service Delay
dear sir frequent power outage affecting neighborhood,Utility Issue
issue favoritism shown awarding government contract please help,Corruption
requesting immediate action embezzlement detection local branch,Financial Issue
dear sir zoning law violated payment official,Corruption
supervisor making inappropriate comment workplace,Harassment
dear sir failure pay contract worker time,Financial Issue
problem colony discriminatory behavior school staff,Harassment
want report gst calculation error business tax,Financial Issue
dear sir incessant load shedding summer,Utility Issue
digital signature error preventing file upload day,Service Delay
complaint regarding crop insurance premium deducted claim paid,Financial Issue
requesting immediate action bullying intimidation colleague,Harassment
dear sir lady constable present arrest night,Law Enforcement Issue
requesting immediate action illegal sand mining allowed paying minor official,Corruption
urgent service tax charged abolished,Financial Issue
facing major issue crop insurance premium deducted claim paid,Financial Issue
want report call center grievance never pick phone,Service Delay
serious problem water smell like chemical tap,Utility Issue
dear sir gst calculation error business tax,Financial Issue
