text,category,source
Issue: Poor road conditions with multiple potholes Please help.,Utility Issue,synthetic
I am facing a major issue. Refusal of leave for genuine medical emergency as punishment,Harassment,synthetic
Serious problem: Assault victim being pressurized to reach a settlement,Law Enforcement Issue,synthetic
I am facing a major issue. Public tap is broken and wasting tons of water,Utility Issue,synthetic
Issue: Staff at registrar office asking for bribe for land record Please help.,Corruption,synthetic
Serious problem: Drug dealing in front of police station,Law Enforcement Issue,synthetic
Complaint regarding: Public tap is broken and wasting tons of water,Utility Issue,synthetic
There is a problem in our colony. Salary delayed for three months,Financial Issue,synthetic
Complaint regarding: Traffic sergeant took my license without a receipt,Law Enforcement Issue,synthetic
I want to report: No action against repeated domestic violence,Law Enforcement Issue,synthetic
I am facing a major issue. Sewage overflow on the main road near our house,Utility Issue,synthetic
Requesting immediate action: Garbage not collected from our street regularly,Utility Issue,synthetic
Serious problem: Officer taking money to hide illegal construction,Corruption,synthetic
Water smells like chemicals in our taps,Utility Issue,synthetic
"Dear Sir, Zoning laws violated after payment to official",Corruption,synthetic
There is a problem in our colony. Officer demanding percentage of my contract payment,Corruption,synthetic
Urgent: Fraudulent transaction on debit card,Financial Issue,synthetic
I want to report: Zoning laws violated after payment to official,Corruption,synthetic
There is a problem in our colony. Driving license renewal taking too long,Service Delay,synthetic
Requesting immediate action: Land records update request ignored,Service Delay,synthetic
Inordinate delay in processing industrial permit,Service Delay,synthetic
Serious problem: Death certificate application is stuck for 40 days,Service Delay,synthetic
Serious problem: Hospital staff charging for free medicines provided by government,Corruption,synthetic
I want to report: Illegal search and seizure without warrant,Law Enforcement Issue,synthetic
Urgent: Traffic sergeant demanding money for no reason,Corruption,synthetic
There is a problem in our colony. Favoritism shown in awarding government contracts,Corruption,synthetic
Digital signature error preventing file upload for days,Service Delay,synthetic
Urgent: Illegal commission charged for permit approval,Corruption,synthetic
"Dear Sir, Tax inspector demanding bribe to reduce assessment",Corruption,synthetic
Complaint regarding: Incorrect tax assessment on my property,Financial Issue,synthetic
Incorrect income tax refund amount,Financial Issue,synthetic
Issue: Corruption within the police department Please help.,Law Enforcement Issue,synthetic
There is a problem in our colony. Illegal dumping of waste in residential area,Utility Issue,synthetic
Urgent: Credit card charged for services not availed,Financial Issue,synthetic
Issue: Favoritism shown in awarding government contracts Please help.,Corruption,synthetic
There is a problem in our colony. Ration card application still under process,Service Delay,synthetic
There is a problem in our colony. Traffic laws not enforced on high-speed road,Law Enforcement Issue,synthetic
Complaint regarding: Traffic police demanding illegal fine,Law Enforcement Issue,synthetic
Urgent: Irrigation water diverted to big farms through bribery,Corruption,synthetic
Complaint regarding: Failure to serve court summons,Law Enforcement Issue,synthetic
Serious problem: Mental torture by management,Harassment,synthetic
Issue: Ration card application still under process Please help.,Service Delay,synthetic
I want to report: Freedom fighter pension application hasn't moved for a year,Service Delay,synthetic
"Dear Sir, Low water pressure making it hard to use",Utility Issue,synthetic
I want to report: Electricity meter showing wrong readings,Utility Issue,synthetic
I am facing a major issue. Hit and run case not being investigated properly,Law Enforcement Issue,synthetic
Supervisor making inappropriate comments at workplace,Harassment,synthetic
Urgent: Official at counter says the system is down for a week,Service Delay,synthetic
Requesting immediate action: Unauthorized deductions from my salary,Financial Issue,synthetic
Complaint regarding: Dead animals lying on the street not removed,Utility Issue,synthetic
Issue: Police officer asking for bribe to release vehicle Please help.,Corruption,synthetic
Complaint regarding: No action taken on complaint filed last month,Service Delay,synthetic
Government official demanded bribe for processing my application,Corruption,synthetic
Serious problem: Constant calls at night from office supervisor,Harassment,synthetic
I want to report: Government employee asking for extra money for service,Corruption,synthetic
I want to report: Stock market fraud affecting my savings,Financial Issue,synthetic
Requesting immediate action: Cyberbullying by colleagues on social media groups,Harassment,synthetic
I want to report: No lady constable present during my arrest at night,Law Enforcement Issue,synthetic
There is a problem in our colony. Pension not credited to account for three months,Financial Issue,synthetic
"Dear Sir, Cyber crime department not taking my case seriously",Law Enforcement Issue,synthetic
"Dear Sir, Fake accounts used to siphon off welfare money",Financial Issue,synthetic
I want to report: Stray cattle causing traffic issues on main road,Utility Issue,synthetic
Requesting immediate action: Fraudulent transaction on debit card,Financial Issue,synthetic
"Dear Sir, Zoning laws violated after payment to official",Corruption,synthetic
I want to report: GST calculation error on business taxes,Financial Issue,synthetic
I want to report: Intimidation to withdraw legal case,Harassment,synthetic
I am facing a major issue. Traffic police demanding illegal fine,Law Enforcement Issue,synthetic
Urgent: Gas supply interrupted without any notice,Utility Issue,synthetic
There is a problem in our colony. Police officer asking for bribe to release vehicle,Corruption,synthetic
Serious problem: Verbal abuse from government official during visit,Harassment,synthetic
Complaint regarding: Public land sold illegally by corrupted officials,Corruption,synthetic
Issue: Name correction in school records is taking ages Please help.,Service Delay,synthetic
Issue: Student grant money never arrived in bank Please help.,Financial Issue,synthetic
Issue: Emergency response delayed despite multiple calls Please help.,Law Enforcement Issue,synthetic
Requesting immediate action: Police vehicle used for personal errands while calls pending,Law Enforcement Issue,synthetic
Issue: Delay in processing student scholarship Please help.,Service Delay,synthetic
"Dear Sir, Wrongful arrest based on false information",Law Enforcement Issue,synthetic
I am facing a major issue. Dead animals lying on the street not removed,Utility Issue,synthetic
There is a problem in our colony. Staff at registrar office asking for bribe for land record,Corruption,synthetic
Urgent: Gender-based violence ignored by supervisor,Harassment,synthetic
Constant calls at night from office supervisor,Harassment,synthetic
Urgent: Garbage not collected from our street regularly,Utility Issue,synthetic
I am facing a major issue. Hit and run case not being investigated properly,Law Enforcement Issue,synthetic
There is a problem in our colony. Streetlights not working in our colony for weeks,Utility Issue,synthetic
Issue: Dust pollution from construction site without covers Please help.,Utility Issue,synthetic
I am facing a major issue. Lack of police patrolling at night,Law Enforcement Issue,synthetic
Complaint regarding: Persistent harassment from neighbor with police ties,Harassment,synthetic
Issue: Facing discrimination due to my gender Please help.,Harassment,synthetic
There is a problem in our colony. Ration card application still under process,Service Delay,synthetic
I want to report: No response to RTI application filed three months ago,Service Delay,synthetic
Serious problem: Hidden charges in bank statement,Financial Issue,synthetic
I am facing a major issue. Illegal gambling den running with local police support,Law Enforcement Issue,synthetic
"Dear Sir, Mental health issues caused by toxic workspace",Harassment,synthetic
Urgent: Street flooding after every minor rain,Utility Issue,synthetic
"Dear Sir, Discriminated against based on my caste",Harassment,synthetic
I am facing a major issue. Denial of promotion due to personal grudge,Harassment,synthetic
Complaint regarding: Income certificate verification is pending with tehsildar,Service Delay,synthetic
I am facing a major issue. Casteist slurs used against me in office,Harassment,synthetic
"Dear Sir, Withholding my salary as a means of control",Harassment,synthetic
I am facing a major issue. Application lost in transit between offices,Service Delay,synthetic
I want to report: Trade license renewal taking forever,Service Delay,synthetic
Complaint regarding: Traffic sergeant took my license without a receipt,Law Enforcement Issue,synthetic
Urgent: Gas supply interrupted without any notice,Utility Issue,synthetic
There is a problem in our colony. Discriminatory behavior by school staff,Harassment,synthetic
Requesting immediate action: Gas supply interrupted without any notice,Utility Issue,synthetic
Issue: Bank teller stole money from my fixed deposit Please help.,Financial Issue,synthetic
Issue: Security clearance for employment is taking forever Please help.,Service Delay,synthetic
There is a problem in our colony. Broken street sign causing confusion,Utility Issue,synthetic
Sewer lines are choked and backing up into basements,Utility Issue,synthetic
"Dear Sir, Wrongful arrest based on false information",Law Enforcement Issue,synthetic
"Dear Sir, Frequent power outages affecting our neighborhood",Utility Issue,synthetic
"Dear Sir, No lady constable present during my arrest at night",Law Enforcement Issue,synthetic
I am facing a major issue. Discrepancy in pension payments,Financial Issue,synthetic
Urgent: Missing child case handled poorly,Law Enforcement Issue,synthetic
No water supply in our area for the past three days,Utility Issue,synthetic
Contaminated water coming from public pump,Utility Issue,synthetic
Complaint regarding: Unfair interest rate on government loan,Financial Issue,synthetic
"Dear Sir, Voter list manipulation by election officers",Corruption,synthetic
I am facing a major issue. Audit findings show financial discrepancy,Financial Issue,synthetic
There is a problem in our colony. Bounced check from government department,Financial Issue,synthetic
I want to report: School principal asking for donation for admission,Corruption,synthetic
Complaint regarding: Persistent harassment from neighbor with police ties,Harassment,synthetic
Issue: Salary delayed for three months Please help.,Financial Issue,synthetic
Requesting immediate action: Potholes on the main highway causing traffic,Utility Issue,synthetic
There is a problem in our colony. Illegal construction on storm water drains,Utility Issue,synthetic
Requesting immediate action: Illegal recruitment process in government department,Corruption,synthetic
Inordinate delay in processing industrial permit,Service Delay,synthetic
There is a problem in our colony. Nepotism in hiring at the municipal office,Corruption,synthetic
I want to report: Cyber crime department not taking my case seriously,Law Enforcement Issue,synthetic
There is a problem in our colony. Police officer asking for bribe to release vehicle,Corruption,synthetic
I am facing a major issue. Casteist slurs used against me in office,Harassment,synthetic
Urgent: Abuse of authority to target personal enemies,Harassment,synthetic
"Dear Sir, Drought relief fund not distributed correctly",Financial Issue,synthetic
There is a problem in our colony. Poor road conditions with multiple potholes,Utility Issue,synthetic
Requesting immediate action: Criminal roaming free despite evidence,Law Enforcement Issue,synthetic
"Dear Sir, Street sweepers never come to our lane",Utility Issue,synthetic
I am facing a major issue. Discrepancy in pension payments,Financial Issue,synthetic
I am facing a major issue. Income certificate verification is pending with tehsildar,Service Delay,synthetic
Urgent: Service tax charged after it was abolished,Financial Issue,synthetic
Requesting immediate action: Official at counter says the system is down for a week,Service Delay,synthetic
"Dear Sir, No response to RTI application filed three months ago",Service Delay,synthetic
Public fund diverted for private functions,Financial Issue,synthetic
Issue: Discriminatory behavior by school staff Please help.,Harassment,synthetic
Bribe requested for passport verification,Corruption,synthetic
I am facing a major issue. Unfair interest rate on government loan,Financial Issue,synthetic
Complaint regarding: Income certificate verification is pending with tehsildar,Service Delay,synthetic
There is a problem in our colony. Staff at registrar office asking for bribe for land record,Corruption,synthetic
Requesting immediate action: Illegal recruitment process in government department,Corruption,synthetic
"Dear Sir, Bank refusing to process my loan application",Financial Issue,synthetic
"Dear Sir, Failure to pay contract workers on time",Financial Issue,synthetic
Serious problem: Water pipeline leaking causing road damage,Utility Issue,synthetic
There is a problem in our colony. Insurance claim rejected without valid reason,Financial Issue,synthetic
I am facing a major issue. Incorrect tax assessment on my property,Financial Issue,synthetic
I am facing a major issue. Persistent harassment from neighbor with police ties,Harassment,synthetic
"Dear Sir, GST calculation error on business taxes",Financial Issue,synthetic
Serious problem: Incorrect income tax refund amount,Financial Issue,synthetic
Contaminated water coming from public pump,Utility Issue,synthetic
There is a problem in our colony. Religious discrimination in public service,Harassment,synthetic
I want to report: Hostile work environment due to constant criticism,Harassment,synthetic
Issue: Facing discrimination due to my gender Please help.,Harassment,synthetic
Complaint regarding: Hit and run case not being investigated properly,Law Enforcement Issue,synthetic
Police brutality during questioning,Law Enforcement Issue,synthetic
Requesting immediate action: Forced into overtime without pay through threats,Harassment,synthetic
Serious problem: No update on application for housing scheme,Service Delay,synthetic
There is a problem in our colony. Bank teller stole money from my fixed deposit,Financial Issue,synthetic
Urgent: Error in interest calculation for mortgage,Financial Issue,synthetic
Serious problem: Water tank is never cleaned and full of moss,Utility Issue,synthetic
I want to report: Withholding my salary as a means of control,Harassment,synthetic
I am facing a major issue. Garbage bin overflowing in public park,Utility Issue,synthetic
Complaint regarding: Casteist slurs used against me in office,Harassment,synthetic
There is a problem in our colony. Delay in response from fire department,Service Delay,synthetic
"Dear Sir, No lady constable present during my arrest at night",Law Enforcement Issue,synthetic
I am facing a major issue. Crop insurance premium deducted but claim not paid,Financial Issue,synthetic
Urgent: Criminal roaming free despite evidence,Law Enforcement Issue,synthetic
Urgent: Credit card charged for services not availed,Financial Issue,synthetic
Urgent: Malfunctioning traffic lights at main crossing,Utility Issue,synthetic
Requesting immediate action: Health card issuance delayed,Service Delay,synthetic
Constant calls at night from office supervisor,Harassment,synthetic
Issue: Funds allocated for school being stolen by officials Please help.,Corruption,synthetic
I want to report: Stray cattle causing traffic issues on main road,Utility Issue,synthetic
Harassment of small business owners by officials,Harassment,synthetic
Issue: Illegal construction on storm water drains Please help.,Utility Issue,synthetic
Requesting immediate action: Illegal recruitment process in government department,Corruption,synthetic
I want to report: Wrongful arrest based on false information,Law Enforcement Issue,synthetic
Urgent: Harassed by inspector during routine check,Harassment,synthetic
Issue: Student grant money never arrived in bank Please help.,Financial Issue,synthetic
Complaint regarding: Drainage blocked causing flooding during rain,Utility Issue,synthetic
I am facing a major issue. Audit of the society reveals missing 5 million,Financial Issue,synthetic
Complaint regarding: Birth certificate not issued despite multiple visits,Service Delay,synthetic
Issue: Traffic laws not enforced on high-speed road Please help.,Law Enforcement Issue,synthetic
Urgent: Unauthorized deductions from my salary,Financial Issue,synthetic
I want to report: Street sweepers never come to our lane,Utility Issue,synthetic
Requesting immediate action: Land records update request ignored,Service Delay,synthetic
"Dear Sir, Official accepted bribe to overlook violations",Corruption,synthetic
There is a problem in our colony. Student grant money never arrived in bank,Financial Issue,synthetic
There is a problem in our colony. Pension officer claiming files are lost unless I pay him,Corruption,synthetic
Issue: Driving license renewal taking too long Please help.,Service Delay,synthetic
Issue: Sexual harassment by senior officer in the department Please help.,Harassment,synthetic
Incorrect income tax refund amount,Financial Issue,synthetic
Issue: Officer demanding percentage of my contract payment Please help.,Corruption,synthetic
I want to report: Contractor paid kickback to get the tender approved,Corruption,synthetic
"Dear Sir, Stalking and intimidation at workplace",Harassment,synthetic
"Dear Sir, Frequent power outages affecting our neighborhood",Utility Issue,synthetic
Issue: Broken street sign causing confusion Please help.,Utility Issue,synthetic
Requesting immediate action: Irrigation water diverted to big farms through bribery,Corruption,synthetic
Urgent: Provident fund withdrawal stuck in system,Financial Issue,synthetic
I want to report: No security provided despite threat to life,Law Enforcement Issue,synthetic
Urgent: Malfunctioning traffic lights at main crossing,Utility Issue,synthetic
Urgent: Land records update request ignored,Service Delay,synthetic
"Dear Sir, Stray cattle causing traffic issues on main road",Utility Issue,synthetic
Requesting immediate action: My stolen phone was tracked but police wont go there,Law Enforcement Issue,synthetic
"Dear Sir, Marriage certificate registration pending",Service Delay,synthetic
Complaint regarding: Garbage bin overflowing in public park,Utility Issue,synthetic
Serious problem: Police harassment during peaceful protest,Law Enforcement Issue,synthetic
I am facing a major issue. Inappropriate physical contact during work,Harassment,synthetic
I am facing a major issue. Refusal of leave for genuine medical emergency as punishment,Harassment,synthetic
Urgent: Cyberbullying by colleagues on social media groups,Harassment,synthetic
Issue: Delay in processing student scholarship Please help.,Service Delay,synthetic
Serious problem: Passport application pending for over six months,Service Delay,synthetic
Urgent: Credit card charged for services not availed,Financial Issue,synthetic
Serious problem: Digital signature error preventing file upload for days,Service Delay,synthetic
No update on application for housing scheme,Service Delay,synthetic
Urgent: Gender-based violence ignored by supervisor,Harassment,synthetic
Urgent: Cyberbullying by colleagues on social media groups,Harassment,synthetic
I am facing a major issue. Incorrect tax assessment on my property,Financial Issue,synthetic
Requesting immediate action: Street flooding after every minor rain,Utility Issue,synthetic
Requesting immediate action: Misuse of public funds in road construction project,Corruption,synthetic
Hospital staff charging for free medicines provided by government,Corruption,synthetic
Complaint regarding: Drainage blocked causing flooding during rain,Utility Issue,synthetic
There is a problem in our colony. Name correction in school records is taking ages,Service Delay,synthetic
"Dear Sir, School principal asking for donation for admission",Corruption,synthetic
Assault victim being pressurized to reach a settlement,Law Enforcement Issue,synthetic
Urgent: Error in interest calculation for mortgage,Financial Issue,synthetic
Issue: Nepotism in hiring at the municipal office Please help.,Corruption,synthetic
Complaint regarding: Audit of the society reveals missing 5 million,Financial Issue,synthetic
Complaint regarding: Facing threats from local goons with political connections,Harassment,synthetic
Issue: Failure to investigate suspicious death in my lane Please help.,Law Enforcement Issue,synthetic
Urgent: Abuse of authority to target personal enemies,Harassment,synthetic
Issue: Insurance claim rejected without valid reason Please help.,Financial Issue,synthetic
Issue: Facing discrimination due to my gender Please help.,Harassment,synthetic
Issue: Emergency response delayed despite multiple calls Please help.,Law Enforcement Issue,synthetic
Complaint regarding: No action taken on complaint filed last month,Service Delay,synthetic
I am facing a major issue. Traffic police demanding illegal fine,Law Enforcement Issue,synthetic
Serious problem: Passport application pending for over six months,Service Delay,synthetic
There is a problem in our colony. Police officer using abusive language with citizens,Law Enforcement Issue,synthetic
Hospital staff charging for free medicines provided by government,Corruption,synthetic
Complaint regarding: Refusal of leave for genuine medical emergency as punishment,Harassment,synthetic
Urgent: Bureaucratic hurdles in simple document verification,Service Delay,synthetic
I am facing a major issue. Illegal gambling den running with local police support,Law Enforcement Issue,synthetic
"Dear Sir, Hidden fees charged without disclosure",Financial Issue,synthetic
I want to report: No action against repeated domestic violence,Law Enforcement Issue,synthetic
Serious problem: Account hacked and money stolen,Financial Issue,synthetic
"Dear Sir, Stock market fraud affecting my savings",Financial Issue,synthetic
I am facing a major issue. Public tap is broken and wasting tons of water,Utility Issue,synthetic
Complaint regarding: Failure to report crime by officer,Law Enforcement Issue,synthetic
I want to report: Discriminated against based on my caste,Harassment,synthetic
There is a problem in our colony. Unexplained fees for government services,Financial Issue,synthetic
Urgent: Fraudulent transaction on debit card,Financial Issue,synthetic
"Dear Sir, School principal asking for donation for admission",Corruption,synthetic
I am facing a major issue. Electricity department worker asking for money to fix transformer,Corruption,synthetic
"Dear Sir, GST calculation error on business taxes",Financial Issue,synthetic
I want to report: High voltage causing damage to appliances,Utility Issue,synthetic
Complaint regarding: Corruption in local council office,Corruption,synthetic
Issue: No feedback on previous complaints for weeks Please help.,Service Delay,synthetic
Urgent: Missing child case handled poorly,Law Enforcement Issue,synthetic
Requesting immediate action: Tree branches touching transformers causing sparks,Utility Issue,synthetic
Aadhar card update pending for weeks,Service Delay,synthetic
"Dear Sir, Public shaming by official for small error",Harassment,synthetic
Urgent: Criminal roaming free despite evidence,Law Enforcement Issue,synthetic
Serious problem: Threatened by landlord who is a government servant,Harassment,synthetic
Drug dealing in front of police station,Law Enforcement Issue,synthetic
Issue: Blackmail by someone with power Please help.,Harassment,synthetic
Serious problem: Police brutality during questioning,Law Enforcement Issue,synthetic
I am facing a major issue. Application lost in transit between offices,Service Delay,synthetic
Requesting immediate action: Bureaucratic hurdles in simple document verification,Service Delay,synthetic
Requesting immediate action: Witness intimidation not handled by police,Law Enforcement Issue,synthetic
"Dear Sir, Freedom fighter pension application hasn't moved for a year",Service Delay,synthetic
Threatened by landlord who is a government servant,Harassment,synthetic
Issue: Streetlights not working in our colony for weeks Please help.,Utility Issue,synthetic
"Dear Sir, Drought relief fund not distributed correctly",Financial Issue,synthetic
I am facing a major issue. Sewage overflow on the main road near our house,Utility Issue,synthetic
Serious problem: Pension papers stuck in bureaucratic process,Service Delay,synthetic
Complaint regarding: Officer asked for money under the table to clear my file,Corruption,synthetic
"Dear Sir, Official accepted bribe to overlook violations",Corruption,synthetic
I want to report: Electricity meter showing wrong readings,Utility Issue,synthetic
Illegal weapons found but no investigation,Law Enforcement Issue,synthetic
I want to report: Marriage certificate registration pending,Service Delay,synthetic
I want to report: Public shaming by official for small error,Harassment,synthetic
Serious problem: Broken power line hanging dangerously,Utility Issue,synthetic
Serious problem: Police brutality during questioning,Law Enforcement Issue,synthetic
I am facing a major issue. Public distribution system grain being sold in black market,Corruption,synthetic
I am facing a major issue. Failure to report crime by officer,Law Enforcement Issue,synthetic
I want to report: Incessant load shedding during summer,Utility Issue,synthetic
Complaint regarding: Discrepancy in pension payments,Financial Issue,synthetic
Verbal abuse from government official during visit,Harassment,synthetic
There is a problem in our colony. Public servants mocking my disability,Harassment,synthetic
Issue: Delay in response from fire department Please help.,Service Delay,synthetic
There is a problem in our colony. False allegations made against me to get me fired,Harassment,synthetic
Serious problem: Digital signature error preventing file upload for days,Service Delay,synthetic
Requesting immediate action: Witness intimidation not handled by police,Law Enforcement Issue,synthetic
There is a problem in our colony. Broken street sign causing confusion,Utility Issue,synthetic
"Dear Sir, Incessant load shedding during summer",Utility Issue,synthetic
I want to report: Incessant load shedding during summer,Utility Issue,synthetic
Serious problem: Funds for poor people were stolen by local representative,Corruption,synthetic
"Dear Sir, Stray cattle causing traffic issues on main road",Utility Issue,synthetic
Urgent: Land records update request ignored,Service Delay,synthetic
I am facing a major issue. Corruption in local council office,Corruption,synthetic
There is a problem in our colony. Open manhole on the sidewalk is dangerous,Utility Issue,synthetic
"Dear Sir, Contractor paid kickback to get the tender approved",Corruption,synthetic
There is a problem in our colony. Discriminatory behavior by school staff,Harassment,synthetic
Serious problem: Customs officer asking for illegal fee,Corruption,synthetic
Complaint regarding: Long waiting list for government surgery,Service Delay,synthetic
Issue: Open manhole on the sidewalk is dangerous Please help.,Utility Issue,synthetic
Officer taking money to hide illegal construction,Corruption,synthetic
I am facing a major issue. Unfair interest rate on government loan,Financial Issue,synthetic
I am facing a major issue. Traffic sergeant took my license without a receipt,Law Enforcement Issue,synthetic
I am facing a major issue. Lack of police patrolling at night,Law Enforcement Issue,synthetic
Complaint regarding: Officer asked for money under the table to clear my file,Corruption,synthetic
I am facing a major issue. Double billing for water supply,Financial Issue,synthetic
"Dear Sir, Hostile work environment due to constant criticism",Harassment,synthetic
Serious problem: Online harassment by government employee,Harassment,synthetic
I am facing a major issue. Long waiting list for government surgery,Service Delay,synthetic
I want to report: Wrongful arrest based on false information,Law Enforcement Issue,synthetic
Serious problem: Drug dealing in front of police station,Law Enforcement Issue,synthetic
Complaint regarding: Utility connection request pending for months,Service Delay,synthetic
I want to report: File moving too slowly between departments,Service Delay,synthetic
Urgent: Bureaucratic hurdles in simple document verification,Service Delay,synthetic
Issue: Domestic abuse reported but no police arrival Please help.,Law Enforcement Issue,synthetic
Serious problem: Contaminated water coming from public pump,Utility Issue,synthetic
Issue: Bounced check from government department Please help.,Financial Issue,synthetic
"Dear Sir, High voltage causing damage to appliances",Utility Issue,synthetic
Issue: Pension not credited to account for three months Please help.,Financial Issue,synthetic
Complaint regarding: Failure to serve court summons,Law Enforcement Issue,synthetic
There is a problem in our colony. No feedback on previous complaints for weeks,Service Delay,synthetic
"Dear Sir, Bank refusing to process my loan application",Financial Issue,synthetic
Urgent: Harassed by inspector during routine check,Harassment,synthetic
Public fund diverted for private functions,Financial Issue,synthetic
Funds for poor people were stolen by local representative,Corruption,synthetic
Complaint regarding: Inappropriate physical contact during work,Harassment,synthetic
Complaint regarding: Doctor at government hospital asking for money for treatment,Corruption,synthetic
I am facing a major issue. Discrepancy in pension payments,Financial Issue,synthetic
There is a problem in our colony. Blackmail by someone with power,Harassment,synthetic
I want to report: High voltage causing damage to appliances,Utility Issue,synthetic
Complaint regarding: Crop insurance premium deducted but claim not paid,Financial Issue,synthetic
Water smells like chemicals in our taps,Utility Issue,synthetic
Inordinate delay in processing industrial permit,Service Delay,synthetic
Urgent: Safety concerns at public place not addressed,Law Enforcement Issue,synthetic
Requesting immediate action: Street flooding after every minor rain,Utility Issue,synthetic
Complaint regarding: Application lost in transit between offices,Service Delay,synthetic
There is a problem in our colony. Facing discrimination due to my gender,Harassment,synthetic
"Dear Sir, File moving too slowly between departments",Service Delay,synthetic
I am facing a major issue. No action taken on complaint filed last month,Service Delay,synthetic
Urgent: Missing child case handled poorly,Law Enforcement Issue,synthetic
Complaint regarding: Embezzlement of funds meant for welfare scheme,Corruption,synthetic
I want to report: Police taking sides in property dispute,Law Enforcement Issue,synthetic
Complaint regarding: Portal is showing processing for the last 90 days,Service Delay,synthetic
Fraudulent billing by government contractor,Corruption,synthetic
Water tank is never cleaned and full of moss,Utility Issue,synthetic
Requesting immediate action: Garbage not collected from our street regularly,Utility Issue,synthetic
There is a problem in our colony. Sexual harassment by senior officer in the department,Harassment,synthetic
Requesting immediate action: Local leader using thugs to grab my ancestor's land,Harassment,synthetic
Issue: Delay in response from fire department Please help.,Service Delay,synthetic
Serious problem: No update on application for housing scheme,Service Delay,synthetic
Constant calls at night from office supervisor,Harassment,synthetic
I want to report: Street sweepers never come to our lane,Utility Issue,synthetic
Requesting immediate action: Land records update request ignored,Service Delay,synthetic
Requesting immediate action: Forced into overtime without pay through threats,Harassment,synthetic
Requesting immediate action: Toxic waste being dumped into the local pond,Utility Issue,synthetic
There is a problem in our colony. False allegations made against me to get me fired,Harassment,synthetic
I want to report: Trade license renewal taking forever,Service Delay,synthetic
There is a problem in our colony. No feedback on previous complaints for weeks,Service Delay,synthetic
Issue: Favoritism shown in awarding government contracts Please help.,Corruption,synthetic
I am facing a major issue. Electricity department worker asking for money to fix transformer,Corruption,synthetic
Illegal weapons found but no investigation,Law Enforcement Issue,synthetic
"Dear Sir, Discriminated against based on my caste",Harassment,synthetic
I want to report: Building permit application pending for a year,Service Delay,synthetic
Bribe requested for passport verification,Corruption,synthetic
There is a problem in our colony. Public servants mocking my disability,Harassment,synthetic
Requesting immediate action: Service tax charged after it was abolished,Financial Issue,synthetic
