text,category,source,cleaned_text,mapped_category
I am facing a major issue. Sewage overflow on the main road near our house,Utility Issue,synthetic,facing major issue sewage overflow main road near house,Utility Issue
Requesting immediate action: Garbage not collected from our street regularly,Utility Issue,synthetic,requesting immediate action garbage collected street regularly,Utility Issue
Serious problem: Officer taking money to hide illegal construction,Corruption,synthetic,serious problem officer taking money hide illegal construction,Corruption
Water smells like chemicals in our taps,Utility Issue,synthetic,water smell like chemical tap,Utility Issue
"Dear Sir, Zoning laws violated after payment to official",Corruption,synthetic,dear sir zoning law violated payment official,Corruption
There is a problem in our colony. Officer demanding percentage of my contract payment,Corruption,synthetic,problem colony officer demanding percentage contract payment,Corruption
Urgent: Fraudulent transaction on debit card,Financial Issue,synthetic,urgent fraudulent transaction debit card,Financial Issue
I want to report: Zoning laws violated after payment to official,Corruption,synthetic,want report zoning law violated payment official,Corruption
There is a problem in our colony. Driving license renewal taking too long,Service Delay,synthetic,problem colony driving license renewal taking long,Service Delay
Requesting immediate action: Land records update request ignored,Service Delay,synthetic,requesting immediate action land record update request ignored,Service Delay
Inordinate delay in processing industrial permit,Service Delay,synthetic,inordinate delay processing industrial permit,Service Delay
Serious problem: Death certificate application is stuck for 40 days,Service Delay,synthetic,serious problem death certificate application stuck day,Service Delay
Serious problem: Hospital staff charging for free medicines provided by government,Corruption,synthetic,serious problem hospital staff charging free medicine provided government,Corruption
I want to report: Illegal search and seizure without warrant,Law Enforcement Issue,synthetic,want report illegal search seizure without warrant,Law Enforcement Issue
Urgent: Traffic sergeant demanding money for no reason,Corruption,synthetic,urgent traffic sergeant demanding money reason,Corruption
There is a problem in our colony. Favoritism shown in awarding government contracts,Corruption,synthetic,problem colony favoritism shown awarding government contract,Corruption
"Dear Sir, Tax inspector demanding bribe to reduce assessment",Corruption,synthetic,dear sir tax inspector demanding bribe reduce assessment,Corruption
Complaint regarding: Incorrect tax assessment on my property,Financial Issue,synthetic,complaint regarding incorrect tax assessment property,Financial Issue
Incorrect income tax refund amount,Financial Issue,synthetic,incorrect income tax refund amount,Financial Issue
Issue: Corruption within the police department Please help.,Law Enforcement Issue,synthetic,issue corruption within police department please help,Law Enforcement Issue
Urgent: Credit card charged for services not availed,Financial Issue,synthetic,urgent credit card charged service availed,Financial Issue
There is a problem in our colony. Ration card application still under process,Service Delay,synthetic,problem colony ration card application still process,Service Delay
There is a problem in our colony. Traffic laws not enforced on high-speed road,Law Enforcement Issue,synthetic,problem colony traffic law enforced high speed road,Law Enforcement Issue
Complaint regarding: Traffic police demanding illegal fine,Law Enforcement Issue,synthetic,complaint regarding traffic police demanding illegal fine,Law Enforcement Issue
Urgent: Irrigation water diverted to big farms through bribery,Corruption,synthetic,urgent irrigation water diverted big farm bribery,Corruption
Complaint regarding: Failure to serve court summons,Law Enforcement Issue,synthetic,complaint regarding failure serve court summons,Law Enforcement Issue
Serious problem: Mental torture by management,Harassment,synthetic,serious problem mental torture management,Harassment
Issue: Ration card application still under process Please help.,Service Delay,synthetic,issue ration card application still process please help,Service Delay
I want to report: Freedom fighter pension application hasn't moved for a year,Service Delay,synthetic,want report freedom fighter pension application moved year,Service Delay
"Dear Sir, Low water pressure making it hard to use",Utility Issue,synthetic,dear sir low water pressure making hard use,Utility Issue
I want to report: Electricity meter showing wrong readings,Utility Issue,synthetic,want report electricity meter showing wrong reading,Utility Issue
I am facing a major issue. Hit and run case not being investigated properly,Law Enforcement Issue,synthetic,facing major issue hit run case investigated properly,Law Enforcement Issue
Supervisor making inappropriate comments at workplace,Harassment,synthetic,supervisor making inappropriate comment workplace,Harassment
Urgent: Official at counter says the system is down for a week,Service Delay,synthetic,urgent official counter say system week,Service Delay
Requesting immediate action: Unauthorized deductions from my salary,Financial Issue,synthetic,requesting immediate action unauthorized deduction salary,Financial Issue
Issue: Police officer asking for bribe to release vehicle Please help.,Corruption,synthetic,issue police officer asking bribe release vehicle please help,Corruption
Complaint regarding: No action taken on complaint filed last month,Service Delay,synthetic,complaint regarding action taken complaint filed last month,Service Delay
Serious problem: Constant calls at night from office supervisor,Harassment,synthetic,serious problem constant call night office supervisor,Harassment
I want to report: Government employee asking for extra money for service,Corruption,synthetic,want report government employee asking extra money service,Corruption
I want to report: Stock market fraud affecting my savings,Financial Issue,synthetic,want report stock market fraud affecting saving,Financial Issue
Requesting immediate action: Cyberbullying by colleagues on social media groups,Harassment,synthetic,requesting immediate action cyberbullying colleague social medium group,Harassment
I want to report: No lady constable present during my arrest at night,Law Enforcement Issue,synthetic,want report lady constable present arrest night,Law Enforcement Issue
"Dear Sir, Cyber crime department not taking my case seriously",Law Enforcement Issue,synthetic,dear sir cyber crime department taking case seriously,Law Enforcement Issue
"Dear Sir, Fake accounts used to siphon off welfare money",Financial Issue,synthetic,dear sir fake account used siphon welfare money,Financial Issue
I want to report: Stray cattle causing traffic issues on main road,Utility Issue,synthetic,want report stray cattle causing traffic issue main road,Utility Issue
Requesting immediate action: Fraudulent transaction on debit card,Financial Issue,synthetic,requesting immediate action fraudulent transaction debit card,Financial Issue
I want to report: GST calculation error on business taxes,Financial Issue,synthetic,want report gst calculation error business tax,Financial Issue
I want to report: Intimidation to withdraw legal case,Harassment,synthetic,want report intimidation withdraw legal case,Harassment
I am facing a major issue. Traffic police demanding illegal fine,Law Enforcement Issue,synthetic,facing major issue traffic police demanding illegal fine,Law Enforcement Issue
Urgent: Gas supply interrupted without any notice,Utility Issue,synthetic,urgent gas supply interrupted without any notice,Utility Issue
There is a problem in our colony. Police officer asking for bribe to release vehicle,Corruption,synthetic,problem colony police officer asking bribe release vehicle,Corruption
Serious problem: Verbal abuse from government official during visit,Harassment,synthetic,serious problem verbal abuse government official visit,Harassment
Complaint regarding: Public land sold illegally by corrupted officials,Corruption,synthetic,complaint regarding public land sold illegally corrupted official,Corruption
Issue: Name correction in school records is taking ages Please help.,Service Delay,synthetic,issue name correction school record taking age please help,Service Delay
Issue: Student grant money never arrived in bank Please help.,Financial Issue,synthetic,issue student grant money never arrived bank please help,Financial Issue
Issue: Emergency response delayed despite multiple calls Please help.,Law Enforcement Issue,synthetic,issue emergency response delayed despite multiple call please help,Law Enforcement Issue
Requesting immediate action: Police vehicle used for personal errands while calls pending,Law Enforcement Issue,synthetic,requesting immediate action police vehicle used personal errand call pending,Law Enforcement Issue
Issue: Delay in processing student scholarship Please help.,Service Delay,synthetic,issue delay processing student scholarship please help,Service Delay
"Dear Sir, Wrongful arrest based on false information",Law Enforcement Issue,synthetic,dear sir wrongful arrest based false information,Law Enforcement Issue
I am facing a major issue. Dead animals lying on the street not removed,Utility Issue,synthetic,facing major issue dead animal lying street removed,Utility Issue
Urgent: Gender-based violence ignored by supervisor,Harassment,synthetic,urgent gender based violence ignored supervisor,Harassment
Constant calls at night from office supervisor,Harassment,synthetic,constant call night office supervisor,Harassment
There is a problem in our colony. Streetlights not working in our colony for weeks,Utility Issue,synthetic,problem colony streetlight working colony week,Utility Issue
Issue: Dust pollution from construction site without covers Please help.,Utility Issue,synthetic,issue dust pollution construction site without cover please help,Utility Issue
I am facing a major issue. Lack of police patrolling at night,Law Enforcement Issue,synthetic,facing major issue lack police patrolling night,Law Enforcement Issue
Issue: Facing discrimination due to my gender Please help.,Harassment,synthetic,issue facing discrimination due gender please help,Harassment
I want to report: No response to RTI application filed three months ago,Service Delay,synthetic,want report response rti application filed three month ago,Service Delay
I am facing a major issue. Illegal gambling den running with local police support,Law Enforcement Issue,synthetic,facing major issue illegal gambling den running local police support,Law Enforcement Issue
"Dear Sir, Mental health issues caused by toxic workspace",Harassment,synthetic,dear sir mental health issue caused toxic workspace,Harassment
Urgent: Street flooding after every minor rain,Utility Issue,synthetic,urgent street flooding every minor rain,Utility Issue
"Dear Sir, Discriminated against based on my caste",Harassment,synthetic,dear sir discriminated based caste,Harassment
I am facing a major issue. Denial of promotion due to personal grudge,Harassment,synthetic,facing major issue denial promotion due personal grudge,Harassment
Complaint regarding: Income certificate verification is pending with tehsildar,Service Delay,synthetic,complaint regarding income certificate verification pending tehsildar,Service Delay
I am facing a major issue. Casteist slurs used against me in office,Harassment,synthetic,facing major issue casteist slur used office,Harassment
"Dear Sir, Withholding my salary as a means of control",Harassment,synthetic,dear sir withholding salary mean control,Harassment
I am facing a major issue. Application lost in transit between offices,Service Delay,synthetic,facing major issue application lost transit office,Service Delay
There is a problem in our colony. Discriminatory behavior by school staff,Harassment,synthetic,problem colony discriminatory behavior school staff,Harassment
Requesting immediate action: Gas supply interrupted without any notice,Utility Issue,synthetic,requesting immediate action gas supply interrupted without any notice,Utility Issue
Issue: Bank teller stole money from my fixed deposit Please help.,Financial Issue,synthetic,issue bank teller stole money fixed deposit please help,Financial Issue
Issue: Security clearance for employment is taking forever Please help.,Service Delay,synthetic,issue security clearance employment taking forever please help,Service Delay
There is a problem in our colony. Broken street sign causing confusion,Utility Issue,synthetic,problem colony broken street sign causing confusion,Utility Issue
Sewer lines are choked and backing up into basements,Utility Issue,synthetic,sewer line choked backing basement,Utility Issue
"Dear Sir, Frequent power outages affecting our neighborhood",Utility Issue,synthetic,dear sir frequent power outage affecting neighborhood,Utility Issue
"Dear Sir, No lady constable present during my arrest at night",Law Enforcement Issue,synthetic,dear sir lady constable present arrest night,Law Enforcement Issue
I am facing a major issue. Discrepancy in pension payments,Financial Issue,synthetic,facing major issue discrepancy pension payment,Financial Issue
Urgent: Missing child case handled poorly,Law Enforcement Issue,synthetic,urgent missing child case handled poorly,Law Enforcement Issue
No water supply in our area for the past three days,Utility Issue,synthetic,water supply area past three day,Utility Issue
Contaminated water coming from public pump,Utility Issue,synthetic,contaminated water coming public pump,Utility Issue
Complaint regarding: Unfair interest rate on government loan,Financial Issue,synthetic,complaint regarding unfair interest rate government loan,Financial Issue
"Dear Sir, Voter list manipulation by election officers",Corruption,synthetic,dear sir voter list manipulation election officer,Corruption
I am facing a major issue. Audit findings show financial discrepancy,Financial Issue,synthetic,facing major issue audit finding show financial discrepancy,Financial Issue
There is a problem in our colony. Bounced check from government department,Financial Issue,synthetic,problem colony bounced check government department,Financial Issue
Issue: Salary delayed for three months Please help.,Financial Issue,synthetic,issue salary delayed three month please help,Financial Issue
Requesting immediate action: Potholes on the main highway causing traffic,Utility Issue,synthetic,requesting immediate action pothole main highway causing traffic,Utility Issue
There is a problem in our colony. Illegal construction on storm water drains,Utility Issue,synthetic,problem colony illegal construction storm water drain,Utility Issue
Requesting immediate action: Illegal recruitment process in government department,Corruption,synthetic,requesting immediate action illegal recruitment process government department,Corruption
There is a problem in our colony. Nepotism in hiring at the municipal office,Corruption,synthetic,problem colony nepotism hiring municipal office,Corruption
I want to report: Cyber crime department not taking my case seriously,Law Enforcement Issue,synthetic,want report cyber crime department taking case seriously,Law Enforcement Issue
Urgent: Abuse of authority to target personal enemies,Harassment,synthetic,urgent abuse authority target personal enemy,Harassment
"Dear Sir, Drought relief fund not distributed correctly",Financial Issue,synthetic,dear sir drought relief fund distributed correctly,Financial Issue
There is a problem in our colony. Poor road conditions with multiple potholes,Utility Issue,synthetic,problem colony poor road condition multiple pothole,Utility Issue
Requesting immediate action: Criminal roaming free despite evidence,Law Enforcement Issue,synthetic,requesting immediate action criminal roaming free despite evidence,Law Enforcement Issue
"Dear Sir, Street sweepers never come to our lane",Utility Issue,synthetic,dear sir street sweeper never come lane,Utility Issue
Requesting immediate action: Official at counter says the system is down for a week,Service Delay,synthetic,requesting immediate action official counter say system week,Service Delay
"Dear Sir, No response to RTI application filed three months ago",Service Delay,synthetic,dear sir response rti application filed three month ago,Service Delay
Public fund diverted for private functions,Financial Issue,synthetic,public fund diverted private function,Financial Issue
Issue: Discriminatory behavior by school staff Please help.,Harassment,synthetic,issue discriminatory behavior school staff please help,Harassment
Bribe requested for passport verification,Corruption,synthetic,bribe requested passport verification,Corruption
I am facing a major issue. Unfair interest rate on government loan,Financial Issue,synthetic,facing major issue unfair interest rate government loan,Financial Issue
"Dear Sir, Bank refusing to process my loan application",Financial Issue,synthetic,dear sir bank refusing process loan application,Financial Issue
"Dear Sir, Failure to pay contract workers on time",Financial Issue,synthetic,dear sir failure pay contract worker time,Financial Issue
Serious problem: Water pipeline leaking causing road damage,Utility Issue,synthetic,serious problem water pipeline leaking causing road damage,Utility Issue
There is a problem in our colony. Insurance claim rejected without valid reason,Financial Issue,synthetic,problem colony insurance claim rejected without valid reason,Financial Issue
I am facing a major issue. Incorrect tax assessment on my property,Financial Issue,synthetic,facing major issue incorrect tax assessment property,Financial Issue
"Dear Sir, GST calculation error on business taxes",Financial Issue,synthetic,dear sir gst calculation error business tax,Financial Issue
Serious problem: Incorrect income tax refund amount,Financial Issue,synthetic,serious problem incorrect income tax refund amount,Financial Issue
There is a problem in our colony. Religious discrimination in public service,Harassment,synthetic,problem colony religious discrimination public service,Harassment
I want to report: Hostile work environment due to constant criticism,Harassment,synthetic,want report hostile work environment due constant criticism,Harassment
Complaint regarding: Hit and run case not being investigated properly,Law Enforcement Issue,synthetic,complaint regarding hit run case investigated properly,Law Enforcement Issue
Requesting immediate action: Forced into overtime without pay through threats,Harassment,synthetic,requesting immediate action forced overtime without pay threat,Harassment
Serious problem: No update on application for housing scheme,Service Delay,synthetic,serious problem update application housing scheme,Service Delay
There is a problem in our colony. Bank teller stole money from my fixed deposit,Financial Issue,synthetic,problem colony bank teller stole money fixed deposit,Financial Issue
Urgent: Error in interest calculation for mortgage,Financial Issue,synthetic,urgent error interest calculation mortgage,Financial Issue
Serious problem: Water tank is never cleaned and full of moss,Utility Issue,synthetic,serious problem water tank never cleaned full moss,Utility Issue
I want to report: Withholding my salary as a means of control,Harassment,synthetic,want report withholding salary mean control,Harassment
I am facing a major issue. Garbage bin overflowing in public park,Utility Issue,synthetic,facing major issue garbage bin overflowing public park,Utility Issue
Complaint regarding: Casteist slurs used against me in office,Harassment,synthetic,complaint regarding casteist slur used office,Harassment
There is a problem in our colony. Delay in response from fire department,Service Delay,synthetic,problem colony delay response fire department,Service Delay
I am facing a major issue. Crop insurance premium deducted but claim not paid,Financial Issue,synthetic,facing major issue crop insurance premium deducted claim paid,Financial Issue
Urgent: Criminal roaming free despite evidence,Law Enforcement Issue,synthetic,urgent criminal roaming free despite evidence,Law Enforcement Issue
Urgent: Malfunctioning traffic lights at main crossing,Utility Issue,synthetic,urgent malfunctioning traffic light main crossing,Utility Issue
Requesting immediate action: Health card issuance delayed,Service Delay,synthetic,requesting immediate action health card issuance delayed,Service Delay
Issue: Funds allocated for school being stolen by officials Please help.,Corruption,synthetic,issue fund allocated school stolen official please help,Corruption
Harassment of small business owners by officials,Harassment,synthetic,harassment small business owner official,Harassment
Issue: Illegal construction on storm water drains Please help.,Utility Issue,synthetic,issue illegal construction storm water drain please help,Utility Issue
I want to report: Wrongful arrest based on false information,Law Enforcement Issue,synthetic,want report wrongful arrest based false information,Law Enforcement Issue
Urgent: Harassed by inspector during routine check,Harassment,synthetic,urgent harassed inspector routine check,Harassment
Complaint regarding: Drainage blocked causing flooding during rain,Utility Issue,synthetic,complaint regarding drainage blocked causing flooding rain,Utility Issue
I am facing a major issue. Audit of the society reveals missing 5 million,Financial Issue,synthetic,facing major issue audit society reveals missing million,Financial Issue
Complaint regarding: Birth certificate not issued despite multiple visits,Service Delay,synthetic,complaint regarding birth certificate issued despite multiple visit,Service Delay
Issue: Traffic laws not enforced on high-speed road Please help.,Law Enforcement Issue,synthetic,issue traffic law enforced high speed road please help,Law Enforcement Issue
Urgent: Unauthorized deductions from my salary,Financial Issue,synthetic,urgent unauthorized deduction salary,Financial Issue
I want to report: Street sweepers never come to our lane,Utility Issue,synthetic,want report street sweeper never come lane,Utility Issue
"Dear Sir, Official accepted bribe to overlook violations",Corruption,synthetic,dear sir official accepted bribe overlook violation,Corruption
There is a problem in our colony. Student grant money never arrived in bank,Financial Issue,synthetic,problem colony student grant money never arrived bank,Financial Issue
There is a problem in our colony. Pension officer claiming files are lost unless I pay him,Corruption,synthetic,problem colony pension officer claiming file lost unless pay,Corruption
Issue: Driving license renewal taking too long Please help.,Service Delay,synthetic,issue driving license renewal taking long please help,Service Delay
Issue: Sexual harassment by senior officer in the department Please help.,Harassment,synthetic,issue sexual harassment senior officer department please help,Harassment
Issue: Officer demanding percentage of my contract payment Please help.,Corruption,synthetic,issue officer demanding percentage contract payment please help,Corruption
I want to report: Contractor paid kickback to get the tender approved,Corruption,synthetic,want report contractor paid kickback get tender approved,Corruption
"Dear Sir, Stalking and intimidation at workplace",Harassment,synthetic,dear sir stalking intimidation workplace,Harassment
Issue: Broken street sign causing confusion Please help.,Utility Issue,synthetic,issue broken street sign causing confusion please help,Utility Issue
Requesting immediate action: Irrigation water diverted to big farms through bribery,Corruption,synthetic,requesting immediate action irrigation water diverted big farm bribery,Corruption
Urgent: Provident fund withdrawal stuck in system,Financial Issue,synthetic,urgent provident fund withdrawal stuck system,Financial Issue
I want to report: No security provided despite threat to life,Law Enforcement Issue,synthetic,want report security provided despite threat life,Law Enforcement Issue
Urgent: Land records update request ignored,Service Delay,synthetic,urgent land record update request ignored,Service Delay
"Dear Sir, Stray cattle causing traffic issues on main road",Utility Issue,synthetic,dear sir stray cattle causing traffic issue main road,Utility Issue
Requesting immediate action: My stolen phone was tracked but police wont go there,Law Enforcement Issue,synthetic,requesting immediate action stolen phone tracked police wont go,Law Enforcement Issue
"Dear Sir, Marriage certificate registration pending",Service Delay,synthetic,dear sir marriage certificate registration pending,Service Delay
Complaint regarding: Garbage bin overflowing in public park,Utility Issue,synthetic,complaint regarding garbage bin overflowing public park,Utility Issue
Serious problem: Police harassment during peaceful protest,Law Enforcement Issue,synthetic,serious problem police harassment peaceful protest,Law Enforcement Issue
I am facing a major issue. Inappropriate physical contact during work,Harassment,synthetic,facing major issue inappropriate physical contact work,Harassment
Urgent: Cyberbullying by colleagues on social media groups,Harassment,synthetic,urgent cyberbullying colleague social medium group,Harassment
Serious problem: Passport application pending for over six months,Service Delay,synthetic,serious problem passport application pending six month,Service Delay
Serious problem: Digital signature error preventing file upload for days,Service Delay,synthetic,serious problem digital signature error preventing file upload day,Service Delay
No update on application for housing scheme,Service Delay,synthetic,update application housing scheme,Service Delay
Requesting immediate action: Street flooding after every minor rain,Utility Issue,synthetic,requesting immediate action street flooding every minor rain,Utility Issue
There is a problem in our colony. Name correction in school records is taking ages,Service Delay,synthetic,problem colony name correction school record taking age,Service Delay
"Dear Sir, School principal asking for donation for admission",Corruption,synthetic,dear sir school principal asking donation admission,Corruption
Assault victim being pressurized to reach a settlement,Law Enforcement Issue,synthetic,assault victim pressurized reach settlement,Law Enforcement Issue
Issue: Nepotism in hiring at the municipal office Please help.,Corruption,synthetic,issue nepotism hiring municipal office please help,Corruption
Complaint regarding: Audit of the society reveals missing 5 million,Financial Issue,synthetic,complaint regarding audit society reveals missing million,Financial Issue
Complaint regarding: Facing threats from local goons with political connections,Harassment,synthetic,complaint regarding facing threat local goon political connection,Harassment
Issue: Failure to investigate suspicious death in my lane Please help.,Law Enforcement Issue,synthetic,issue failure investigate suspicious death lane please help,Law Enforcement Issue
Issue: Insurance claim rejected without valid reason Please help.,Financial Issue,synthetic,issue insurance claim rejected without valid reason please help,Financial Issue
There is a problem in our colony. Police officer using abusive language with citizens,Law Enforcement Issue,synthetic,problem colony police officer using abusive language citizen,Law Enforcement Issue
Complaint regarding: Refusal of leave for genuine medical emergency as punishment,Harassment,synthetic,complaint regarding refusal leave genuine medical emergency punishment,Harassment
Urgent: Bureaucratic hurdles in simple document verification,Service Delay,synthetic,urgent bureaucratic hurdle simple document verification,Service Delay
"Dear Sir, Hidden fees charged without disclosure",Financial Issue,synthetic,dear sir hidden fee charged without disclosure,Financial Issue
Serious problem: Account hacked and money stolen,Financial Issue,synthetic,serious problem account hacked money stolen,Financial Issue
"Dear Sir, Stock market fraud affecting my savings",Financial Issue,synthetic,dear sir stock market fraud affecting saving,Financial Issue
Complaint regarding: Failure to report crime by officer,Law Enforcement Issue,synthetic,complaint regarding failure report crime officer,Law Enforcement Issue
I want to report: Discriminated against based on my caste,Harassment,synthetic,want report discriminated based caste,Harassment
There is a problem in our colony. Unexplained fees for government services,Financial Issue,synthetic,problem colony unexplained fee government service,Financial Issue
I am facing a major issue. Electricity department worker asking for money to fix transformer,Corruption,synthetic,facing major issue electricity department worker asking money fix transformer,Corruption
I want to report: High voltage causing damage to appliances,Utility Issue,synthetic,want report high voltage causing damage appliance,Utility Issue
Complaint regarding: Corruption in local council office,Corruption,synthetic,complaint regarding corruption local council office,Corruption
Requesting immediate action: Tree branches touching transformers causing sparks,Utility Issue,synthetic,requesting immediate action tree branch touching transformer causing spark,Utility Issue
Aadhar card update pending for weeks,Service Delay,synthetic,aadhar card update pending week,Service Delay
"Dear Sir, Public shaming by official for small error",Harassment,synthetic,dear sir public shaming official small error,Harassment
Drug dealing in front of police station,Law Enforcement Issue,synthetic,drug dealing front police station,Law Enforcement Issue
Issue: Blackmail by someone with power Please help.,Harassment,synthetic,issue blackmail someone power please help,Harassment
Serious problem: Police brutality during questioning,Law Enforcement Issue,synthetic,serious problem police brutality questioning,Law Enforcement Issue
Requesting immediate action: Bureaucratic hurdles in simple document verification,Service Delay,synthetic,requesting immediate action bureaucratic hurdle simple document verification,Service Delay
Requesting immediate action: Witness intimidation not handled by police,Law Enforcement Issue,synthetic,requesting immediate action witness intimidation handled police,Law Enforcement Issue
"Dear Sir, Freedom fighter pension application hasn't moved for a year",Service Delay,synthetic,dear sir freedom fighter pension application moved year,Service Delay
Threatened by landlord who is a government servant,Harassment,synthetic,threatened landlord government servant,Harassment
Issue: Streetlights not working in our colony for weeks Please help.,Utility Issue,synthetic,issue streetlight working colony week please help,Utility Issue
